name,year,individual,teamwork,skill potential,pressure handling,game initiative,survivor,racing,ffa,main server,living continent,personality influence,title
Ninjafood,2012,7,8,6,8,7,8,6,7,E1,US,8
Ninjafood,2017,6,7,6,10,6,6,6,7,E2,US,7
Onkei,2014,9,8,8,7,8,10,9,10,E2,EU,7
Onkei,2017,8,8,7,7,8,8,9,9,E2,EU,7
Cesnica,2015,5,7,9,6,6,5,5,5,E2,US,5
Cesnica,2016,8,10,10,9,8,8,8,10,E2,US,7,Player of the Year
Cesnica,2017,7,10,10,7,7,6,7,9,E2,US,5
Tomstoms,2015,6,9,6,8,8,6,6,8,E1,EU,5
Tomstoms,2017,6,8,6,6,7,6,6,7,E2,EU,5
Angelsonali,2014,6,6,7,7,6,5,5,7,E2,EU,3
Angelsonali,2017,7,7,5,8,6,5,5,10,E2,EU,7
Rightway,2013,7,7,6,7,7,7,6,7,E2,AS,6
Rightway,2017,8,9,7,8,8,10,7,10,E2,AS,5
Poderosocta,2017,8,8,7,7,8,8,9,8,E2,BR,6
Bawrbow,2012,6,6,8,7,7,7,7,7,E1,US,7
Bawrbow,2017,9,7,7,8,9,8,8,8,E2,US,9
Santaishcool,2016,8,10,9,10,8,8,8,10,E2,US,8,Team of the Year
Santaishcool,2017,7,9,7,9,7,6,7,8,E2,US,8
Electrusbolt,2012,8,7,8,8,8,9,8,7,E1,US,7
Electrusbolt,2017,7,6,5,7,6,7,7,6,E2,US,7
Micecheese,2013,8,8,8,7,8,8,10,7,E2,US,8
Micecheese,2015,7,8,7,7,7,7,9,7,E2,US,6
Loqocious,2014,7,7,8,5,7,8,8,8,E1,US,6
Loqocious,2016,8,8,10,7,10,9,9,8,E2,US,9,Most Improved Player of the Year
Loqocious,2017,8,7,7,6,7,7,9,8,E2,US,6
Wizette,2014,6,7,7,8,7,10,6,8,E2,EU,5
Swettue,2016,7,8,6,7,7,10,8,7,E2,EU,7
Jayheather,2017,6,9,7,8,8,5,6,8,E2,US,6
Cutiel,2012,5,6,6,5,6,4,5,6,E1,US,7
Cutiel,2017,6,7,7,7,7,5,7,6,E1,US,6
Gilcatmey,2015,8,8,7,8,8,7,9,7,E2,US,8
Gilcatmey,2016,8,10,8,10,9,8,9,8,E2,US,9,Most Improved Player of the Year
Gilcatmey,2017,7,8,7,7,8,7,8,6,E2,US,8
Bannanalord,2013,7,6,7,6,7,7,8,6,E2,US,9
Bannanalord,2015,8,7,7,7,8,7,9,7,E2,US,8
Mrchewypants,2013,7,7,7,7,7,7,8,6,E1,US,6
Mrchewypants,2017,7,8,7,8,7,8,8,7,E1,US,4
Pie,2017,5,7,6,9,7,6,6,7,E2,US,4
Tinkmouselol,2012,3,5,4,5,6,6,4,5,E1,US,7
Dancingisfun,2015,4,5,6,4,5,4,3,5,E1,US,8
Halowarman,2012,7,7,7,7,8,7,7,9,E1,US,7
Ikkiryu,2012,8,7,7,9,9,9,7,8,E1,US,7
Sexal,2017,7,7,7,7,6,6,7,7,E2,US,8
Kristmasx,2015,6,7,8,5,7,5,7,6,E2,US,7
Kristmasx,2017,7,7,7,7,7,6,8,7,E2,US,5
Sinopia,2012,8,8,7,8,8,10,8,8,E2,US,7
Coolgreen,2013,8,7,7,8,8,8,9,8,E1,US,7
Coolgreen,2017,8,7,6,9,10,8,9,8,E2,US,5
Casualwolf,2015,7,10,8,7,7,8,7,8,E1,US,6
Jesterfools,2015,6,8,7,8,8,7,8,7,E2,US,7
Lugiman,2014,6,7,6,8,7,7,6,8,E2,US,7
Aldekilla,2012,8,6,6,6,8,7,8,7,E1,US,6
Brohammer,2012,7,7,7,7,7,8,8,7,E1,US,8
Brohammer,2014,6,5,6,8,6,6,7,6,E1,US,6
Meghannnn,2012,7,8,7,7,7,8,7,7,E1,US,7
Roneillcows,2012,3,6,4,7,5,5,4,5,E1,US,2
Makokun,2012,4,5,5,6,5,5,4,4,E1,US,3
Micemory,2012,8,7,7,7,9,9,7,7,E1,EU,8
Garmelio,2012,7,7,8,6,7,8,8,7,E1,US,7
Akiras,2012,7,7,7,8,8,9,8,9,E1,EU,9
Petyrbaeliss,2014,8,6,6,7,8,7,9,7,E2,US,10
Druidshell,2012,6,6,6,6,5,7,6,5,E1,US,7
Captepic,2013,7,8,7,8,7,7,7,6,E1,US,6
Jooordan,2012,7,4,6,8,7,8,7,7,E1,EU,10
Rarerere,2015,6,6,7,7,7,8,6,7,E2,EU,5
Rarerere,2017,6,7,7,8,7,9,6,7,E2,EU,5
Biellinduu,2012,5,6,6,6,7,6,7,5,BR,US,6
Biellinduu,2014,7,7,6,6,7,7,8,6,E2,US,6
Ninjatobi,2017,6,7,7,7,6,6,6,6,E2,US,5
Bigbanado,2016,7,6,7,8,7,8,8,8,BR,US,5
Iandme,2016,8,8,7,8,8,10,8,8,E2,AS,6
Glitterpelt,2013,7,7,7,7,8,7,7,7,E2,US,6
Glitterpelt,2016,7,8,8,7,7,6,8,7,E2,US,5
Karinite,2014,6,7,8,4,6,5,6,7,E2,US,8
Xfireangel,2012,7,6,8,6,8,8,6,7,E1,US,5
Xfireangel,2016,7,7,7,7,7,7,6,6,E1,US,7
Lightgriffon,2012,5,5,7,4,5,6,5,6,E1,US,8
Lightgriffon,2015,7,7,7,6,7,7,7,8,E1,US,7
Farahsleiman,2014,7,7,7,8,7,10,8,7,E2,AS,7
Anttya,2014,7,8,8,7,6,7,7,8,E2,US,4
Cutecuddles,2015,6,6,7,5,6,5,6,7,E2,US,7
Smoothypeng,2012,7,6,7,7,7,9,8,7,E1,AF,8
Smoothypeng,2016,6,7,5,7,7,8,6,6,E2,AF,6
Tomosy,2014,6,5,7,6,6,8,6,6,E2,US,8
Starpassion,2012,5,6,7,6,6,5,5,5,E1,US,7
Starpassion,2015,6,7,6,7,7,6,6,6,E2,US,6
Asnakerehind,2012,7,7,6,6,8,7,8,8,E1,US,7
Tomaha,2012,6,7,6,6,7,7,6,7,E1,US,5
Tomaha,2017,7,8,7,8,8,9,7,9,E2,US,7
Skyhurri,2012,6,4,8,6,7,8,6,6,E1,EU,10
Candomfree,2015,6,6,6,4,7,7,6,6,E2,US,10
Snowdragonf,2014,7,7,6,8,6,7,8,7,E2,US,5
Nikuiku,2016,5,5,6,6,5,5,5,6,E2,US,6
Synthmarie,2012,6,7,5,8,6,5,6,6,E1,US,6
Kumitso,2015,5,8,6,7,6,6,5,6,E2,US,3
Abcdrocks,2015,6,7,6,6,6,6,6,6,E2,EU,7
Tobigirl,2015,6,8,7,7,6,6,6,7,E2,US,4
Cninja,2012,7,7,8,5,7,7,8,7,E1,US,7
Cninja,2015,7,7,7,7,8,7,9,8,E2,US,6
Triggeredsjw,2016,6,6,7,7,6,6,5,6,E2,US,6
Kaoruko,2016,6,6,5,7,5,5,5,6,E2,US,4
Alikiah,2015,6,7,7,7,6,6,6,7,E2,US,4
Sitrius,2017,7,7,6,5,4,8,6,6,E2,EU,5
Victyne,2017,8,7,7,8,8,8,7,8,BR,US,6
Frenklimeka,2017,8,7,7,7,8,8,8,8,E2,EU,6
Neostrong,2017,6,8,7,7,6,6,7,7,E1,US,6
Ptdawesome,2017,8,7,7,8,8,7,7,8,E2,US,8
Mizzmomox,2012,7,8,6,10,6,7,7,6,E1,US,8
Clokelly,2012,7,7,7,5,6,7,7,7,E1,US,6
Queenisy,2012,5,7,6,6,6,5,5,6,E1,US,4
Bechia,2012,6,6,7,7,6,7,6,6,E1,US,7
Peepstar,2013,7,7,7,7,8,9,9,7,E1,US,9
Erikiluka,2013,7,6,7,7,7,6,7,7,BR,US,7
Soupbot,2012,1,1,1,1,1,1,1,1,E1,US,10
Dkao,2013,8,7,7,8,9,7,10,6,E2,EU,7
